title,normalized_title,type,authors,journal,year,library
Nechako Reservoir mathematical modelling studies,nechako reservoir mathematical modelling studies,Conference Proceedings,"James, C. B.; Mitchell, A. C.; Buchak, E. M.",,1991,Search
Genetic variation in wood properties of interior spruce. II. Tracheid characteristics,genetic variation in wood properties of interior spruce ii tracheid characteristics,Journal Article,"Ivkovich, M; Namkoong, G; Koshy, M",CANADIAN JOURNAL OF FOREST RESEARCH,2002,Search
"Genetic variation in wood properties of interior spruce. I. Growth, latewood percentage, and wood density",genetic variation in wood properties of interior spruce i growth latewood percentage and wood density,Journal Article,"Ivkovich, M; Namkoong, G; Koshy, M",CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,2002,Search
"Future Climate Change Impacts on Snow and Water Resources of the Fraser River Basin, British Columbia",future climate change impacts on snow and water resources of the fraser river basin british columbia,Journal Article,"Islam, SU; Dery, SJ; Werner, AT",JOURNAL OF HYDROMETEOROLOGY,2017,Search
"Paleomagnetism of the Spences Bridge Group and Northward displacement of the Intermontane Belt, British-Columbia- A 2nd look",paleomagnetism of the spences bridge group and northward displacement of the intermontane belt britishcolumbia a 2nd look,Journal Article,"Irving, E; Thorkelson, DJ; Wheadon, PM; Enkin, RJ",JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,1995,Search
The strongly damped baroclinic response to wind in a multibasin reservoir,the strongly damped baroclinic response to wind in a multibasin reservoir,Journal Article,"Imam, YE; Laval, B; Pieters, R; Lawrence, G",LIMNOLOGY AND OCEANOGRAPHY,2013,Search
The baroclinic response to wind in a multiarm multibasin reservoir,the baroclinic response to wind in a multiarm multibasin reservoir,Journal Article,"Imam, YE; Laval, B; Pieters, R; Lawrence, G",LIMNOLOGY AND OCEANOGRAPHY,2020,Search
"Imaging the Nechako Basin, British Columbia, using ambient seismic noise",imaging the nechako basin british columbia using ambient seismic noise,Journal Article,"Idowu, OA; Frederiksen, AW; Cassidy, JF",CANADIAN JOURNAL OF EARTH SCIENCES,2011,Search
Evaluation of the North American Regional Reanalysis (NARR) precipitation fields in a topographically complex domain,evaluation of the north american regional reanalysis narr precipitation fields in a topographically complex domain,Journal Article,"Hunter, C; Moore, RD; McKendry, I",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,2020,Search
"Thermal maturation and source rock potential of Cretaceous strata in the Chilcotin-Nechako region, south-central British Columbia",thermal maturation and source rock potential of cretaceous strata in the chilcotinnechako region southcentral british columbia,Journal Article,"Hunt, JA; Bustin, RM",BULLETIN OF CANADIAN PETROLEUM GEOLOGY,1997,Search
The spatial politics of energy conflicts: How competing constructions of scale shape pipeline and shale gas struggles in Canada,the spatial politics of energy conflicts how competing constructions of scale shape pipeline and shale gas struggles in canada,Journal Article,"Hunsberger, C; Larsen, RK",ENERGY RESEARCH & SOCIAL SCIENCE,2021,Search
Spruce Weevil population monitoring plots in the Prince George forest region.,spruce weevil population monitoring plots in the prince george forest region,Conference Proceedings,"Hump, N; Ferris, R",,1994,Search
"Framing, Suppression, and Colonial Policing Redux in Canada: News Representations of the 2019 Wet'suwet'en Blockade",framing suppression and colonial policing redux in canada news representations of the 2019 wetsuweten blockade,Journal Article,"Hume, R; Walby, K",JOURNAL OF CANADIAN STUDIES-REVUE D ETUDES CANADIENNES,2021,Search
"Eagle down is our law: Witsuwit'en law, feasts, and land claims - Mills,A",eagle down is our law witsuwiten law feasts and land claims millsa,Journal Article,"Howes, D",CANADIAN REVIEW OF SOCIOLOGY AND ANTHROPOLOGY-REVUE CANADIENNE DE SOCIOLOGIE ET D ANTHROPOLOGIE,1997,Search
FLOW (finding lasting options for women) Multicentre randomized controlled trial comparing tampons with menstrual cups,flow finding lasting options for women multicentre randomized controlled trial comparing tampons with menstrual cups,Journal Article,"Howard, C; Rose, CL; Trouton, K; Stamm, H; Marentette, D; Kirkpatrick, N; Karalic, S; Fernandez, R; Paget, J",CANADIAN FAMILY PHYSICIAN,2011,Search
"The paleomagnetic effects of reheating the Ecstall pluton, British Columbia",the paleomagnetic effects of reheating the ecstall pluton british columbia,Journal Article,"Hollister, LS; Hargraves, RB; James, TS; Renne, PR",EARTH AND PLANETARY SCIENCE LETTERS,2004,Search
Caveats on the use of paleolimnology to infer Pacific salmon returns,caveats on the use of paleolimnology to infer pacific salmon returns,Journal Article,"Hobbs, WO; Wolfe, AP",LIMNOLOGY AND OCEANOGRAPHY,2007,Search
Undergraduate exposure to urology: impact of the distributed model of medical education in British Columbia,undergraduate exposure to urology impact of the distributed model of medical education in british columbia,Journal Article,"Hoag, NA; Hamidizadeh, R; MacNeily, AE",CUAJ-CANADIAN UROLOGICAL ASSOCIATION JOURNAL,2013,Search
Growth in molybdenum - Thompson creek expanding Endako; studying Davidson,growth in molybdenum thompson creek expanding endako studying davidson,Magazine Article,"Hiyate, A; Werniuk, J",CANADIAN MINING JOURNAL,2008,Search
Advanced control strategy reduces recovery boiler fouling while liquor throughput is increased,advanced control strategy reduces recovery boiler fouling while liquor throughput is increased,Magazine Article,"Hirtz, B; Paulson, LM; Pettigrew, SR; Pasciolla, DJ",PULP & PAPER-CANADA,1999,Search
Kiln infra-red cameras for abnormal situation detection and residual carbonate control,kiln infrared cameras for abnormal situation detection and residual carbonate control,Journal Article,"Hirtz, B; Marshman, D; Sheehan, C",J-FOR-JOURNAL OF SCIENCE & TECHNOLOGY FOR FOREST PRODUCTS AND PROCESSES,2017,Search
Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics,swim speeds and energy use of uprivermigrating sockeye salmon oncorhynchus nerka role of local environment and fish characteristics,Journal Article,"Hinch, SG; Rand, PS",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,1998,Search
Standardizing spawner escapement data: A case study of the Nechako river Chinook salmon,standardizing spawner escapement data a case study of the nechako river chinook salmon,Journal Article,"Hill, RA; Irvine, JR",NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,2001,Search
"Status of White Sturgeon (Acipenser transmontanus Richardson, 1863) throughout the species range, threats to survival, and prognosis for the future",status of white sturgeon acipenser transmontanus richardson 1863 throughout the species range threats to survival and prognosis for the future,Journal Article,"Hildebrand, LR; Schreier, AD; Lepla, K; McAdam, SO; McLellan, J; Parsley, MJ; Paragamian, VL; Young, SP",JOURNAL OF APPLIED ICHTHYOLOGY,2016,Search
The Acoustic Properties of Water Submerged Lodgepole Pine (Pinus contorta) and Spruce (Picea spp.) Wood and Their Suitability for Use as Musical Instruments,the acoustic properties of water submerged lodgepole pine pinus contorta and spruce picea spp wood and their suitability for use as musical instruments,Journal Article,"Hilde, C; Woodward, R; Avramidis, S; Hartley, ID",MATERIALS,2014,Search
The Cariboo Alpine Mesonet: sub-hourly hydrometeorological observations of British Columbia's Cariboo Mountains and surrounding area since 2006,the cariboo alpine mesonet subhourly hydrometeorological observations of british columbias cariboo mountains and surrounding area since 2006,Journal Article,"Hernandez-Henriquez, MA; Sharma, AR; Taylor, M; Thompson, HD; Dery, SJ",EARTH SYSTEM SCIENCE DATA,2018,Search
Variability and trends in runoff in the rivers of British Columbia's Coast and Insular Mountains,variability and trends in runoff in the rivers of british columbias coast and insular mountains,Journal Article,"Hernandez-Henriquez, MA; Sharma, AR; Dery, SJ",HYDROLOGICAL PROCESSES,2017,Search
Modern pollen spectra from West Central British-Columbia.,modern pollen spectra from west central britishcolumbia,Journal Article,"Hebda, RJ; Allen, GB",CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,1993,Search
British-Columbia vegetation and climate history with focus on 6 KA BP.,britishcolumbia vegetation and climate history with focus on 6 ka bp,Journal Article,"Hebda, RJ",GEOGRAPHIE PHYSIQUE ET QUATERNAIRE,1995,Search
"Interpretation of structures in the southeastern Nechako Basin, British Columbia, from seismic reflection, well log, and potential field data",interpretation of structures in the southeastern nechako basin british columbia from seismic reflection well log and potential field data,Journal Article,"Hayward, N; Calvert, AJ",CANADIAN JOURNAL OF EARTH SCIENCES,2011,Search
"Eocene and Neogene volcanic rocks in the southeastern Nechako Basin, British Columbia: interpretation of the Canadian Hunter seismic reflection surveys using first-arrival tomography",eocene and neogene volcanic rocks in the southeastern nechako basin british columbia interpretation of the canadian hunter seismic reflection surveys using firstarrival tomography,Journal Article,"Hayward, N; Calvert, AJ",CANADIAN JOURNAL OF EARTH SCIENCES,2009,Search
"Mid-Holocene glacier expansion between 7500 and 4000 cal. yr BP in the British Columbia Coast Mountains, Canada",midholocene glacier expansion between 7500 and 4000 cal yr bp in the british columbia coast mountains canada,Journal Article,"Harvey, JE; Smith, DJ; Laxton, S; Desloges, J; Allen, S",HOLOCENE,2012,Search
"""Water Release Facility at Kenney Dam Updated Conceptual Layout and Cost Estimate""",water release facility at kenney dam updated conceptual layout and cost estimate,Generic,"Hartman, Gordon",,2001,Search
"""Kenney Dam Release Facility: Evaluation of the Effect of Operation of a Proposed Kenney Dam Water Release Facility on Cooling Water Releases and Nechako River Temperatures""",kenney dam release facility evaluation of the effect of operation of a proposed kenney dam water release facility on cooling water releases and nechako river temperatures,Generic,"Hartman, Gordon",,2000,Search
"A multi-species dendroclimatic reconstruction of Chilko River streamflow, British Columbia, Canada",a multispecies dendroclimatic reconstruction of chilko river streamflow british columbia canada,Journal Article,"Hart, SJ; Smith, DJ; Clague, JJ",HYDROLOGICAL PROCESSES,2010,Search
Individual variation in migration speed of upriver-migrating sockeye salmon in the Fraser River in relation to their physiological and energetic status at marine approach,individual variation in migration speed of uprivermigrating sockeye salmon in the fraser river in relation to their physiological and energetic status at marine approach,Journal Article,"Hanson, KC; Cooke, SJ; Hinch, SG; Crossin, GT; Patterson, DA; English, KK; Donaldson, MR; Shrimpton, JM; Van der Kraak, G; Farrell, AP",PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,2008,Search
Oil and gas resource potential of the Nechako–Chilcotin area of British Columbia,oil and gas resource potential of the nechakochilcotin area of british columbia,Generic,"Hannigan, Peter; Lee, P. J.; Osadetz, K. G.; Dietrich, J. R.; Olsen-Heise, K.",,2001,Search
Establishing a distributed campus: making sense of disruptions to a doctor community,establishing a distributed campus making sense of disruptions to a doctor community,Journal Article,"Hanlon, N; Ryser, L; Crain, J; Halseth, G; Snadden, D",MEDICAL EDUCATION,2010,Search
"""We can see a future here"": Place attachment, professional identity, and forms of capital mobilized to deliver medical education in an underserviced area",we can see a future here place attachment professional identity and forms of capital mobilized to deliver medical education in an underserviced area,Journal Article,"Hanlon, N; Halseth, G; Snadden, D",HEALTH & PLACE,2010,Search
